Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Harry Kane,Bayern München,36,8.1,30.6,45.9,32,8,0,0,0,0,0,31,1,13,27,0.1,4,0.2,6,0.4,14
Alejandro Grimaldo,Bayer 04 Leverkusen,10,7.98,5.7,32.4,33,13,0,0,0,0,0,78,2.5,18,1,0.2,7,0.7,22,1.1,35
Serhou Guirassy,VfB Stuttgart,28,7.92,20.8,48.9,28,2,0,0,0,0,0,53,2.2,12,20,0.1,1,0.2,6,1.2,29
Leroy Sané,Bayern München,8,7.82,10.9,38.4,27,11,0,0,0,0,0,72,3,16,8,0.1,0,0.3,7,0.1,2
Florian Wirtz,Bayer 04 Leverkusen,11,7.81,9,47.9,32,11,0,0,0,0,0,74,2.8,12,8,0.1,2,0.3,9,0.1,3
Xavi Simons,RB Leipzig,8,7.81,8.3,40.7,32,11,0,0,0,0,0,79,2.7,14,5,0.1,0,0.5,16,0.1,2
Victor Okoh Boniface,Bayer 04 Leverkusen,14,7.77,15.5,42.5,23,8,0,0,0,0,0,22,1.3,8,16,0.1,1,0.84,0,0.8,13
Granit Xhaka,Bayer 04 Leverkusen,3,7.71,1.8,31.1,33,0,0,0,0,0,0,41,1.3,4,0.2,0.3,8,0.6,19,1.3,40
Kevin Stöger,VfL Bochum,7,7.69,6.2,24,32,9,0,0,0,0,0,127,4.3,17,1,0.1,4,0.6,19,0.5,15
Jamal Musiala,Bayern München,10,7.67,7.9,36.2,24,6,0,0,0,0,0,42,2.1,12,10,0.1,1,0.8,16,0.2,3
Deniz Undav,VfB Stuttgart,18,7.63,15.1,49.5,30,9,0,0,0,0,0,40,1.7,15,12,0.1,0,0.3,6,0.2,5
Andrej Kramaric,TSG Hoffenheim,15,7.55,11.1,49.3,30,6,0,0,0,0,0,78,3.2,14,5,0.1,2,0.4,10,0.4,11
Maximilian Mittelstaedt,VfB Stuttgart,2,7.55,0.9,28.6,31,4,0,0,0,0,0,30,1.3,8,0.2,0.3,6,2,46,2.3,53
Ikoma Lois Openda,RB Leipzig,24,7.53,22.2,51.2,34,7,0,0,0,0,0,35,1.2,11,22,0.1,3,0.2,5,0.5,14
Jan-Niklas Beste,1. FC Heidenheim 1846,8,7.52,4.3,38.8,31,11,0,0,0,0,0,70,2.4,10,2,0.1,1,0.6,18,0.8,23
Angelo Stiller,VfB Stuttgart,1,7.51,1.7,22.2,32,5,0,0,0,0,0,53,1.7,6,2,0.4,13,0.9,28,0.8,26
Joshua Kimmich,Bayern München,1,7.5,1.1,28,28,6,0,0,0,0,0,72,3,11,1,0.2,4,0.6,14,1,24
David Raum,RB Leipzig,2,7.48,0.8,28.6,31,8,0,0,0,0,0,68,2.2,15,0.2,0.3,9,0.9,27,2,61
Xaver Schlager,RB Leipzig,0,7.47,1.1,14.3,29,5,0,0,0,0,0,27,1,2,1,0.3,8,0.7,19,0.9,26
Chris Führich,VfB Stuttgart,8,7.46,6.6,46.3,34,7,0,0,0,0,0,53,1.8,11,8,0.1,0,0.2,7,0.2,6
Alphonso Davies,Bayern München,2,7.46,1,30.8,29,5,0,0,0,0,0,37,1.6,3,0.2,0.2,4,1.1,26,1.7,38
Nico Schlotterbeck,Borussia Dortmund,2,7.46,3,22.2,33,1,0,0,0,0,0,16,0.5,4,4,0.8,25,1.4,45,3.1,97
Jeremie Frimpong,Bayer 04 Leverkusen,9,7.44,8.2,38.2,31,7,0,0,0,0,0,45,1.8,9,11,0.1,0,0.3,7,0.6,15
Odilon Kossounou,Bayer 04 Leverkusen,1,7.44,0.6,20,22,0,0,0,0,0,0,10,0.5,1,0.2,0.1,3,1.3,27,1.9,39
Edmond Tapsoba,Bayer 04 Leverkusen,0,7.43,1,8.3,28,1,0,0,0,0,0,9,0.4,2,1,0.4,10,1,24,2.2,50
Amadou Haidara,RB Leipzig,2,7.41,1.1,42.9,21,1,0,0,0,0,0,17,1,2,0.2,0.4,6,1.2,21,2.2,37
Anton Stach,TSG Hoffenheim,2,7.4,1.9,25,33,3,0,0,0,0,0,21,0.8,6,1,0.4,12,2.7,74,2.4,67
Dani Olmo,RB Leipzig,4,7.37,3.4,31.1,21,5,0,0,0,0,0,32,2,8,3,0.1,0,0.8,13,0.7,12
Mitchell Weiser,SV Werder Bremen,3,7.36,3.8,29.5,30,7,0,0,0,0,0,37,1.3,8,1,0.2,6,0.7,20,1.3,39
Jonathan Tah,Bayer 04 Leverkusen,4,7.36,2.1,38.5,31,1,0,0,0,0,0,5,0.2,1,2,0.8,23,0.8,23,3.2,95
Robert Andrich,Bayer 04 Leverkusen,4,7.35,1.8,39.1,28,2,0,0,0,0,0,22,1.2,3,2,0.2,4,1.1,20,0.9,17
Omar Marmoush,Eintracht Frankfurt,12,7.34,11.6,41.8,29,6,0,0,0,0,0,40,1.6,6,6,0.1,0,0.4,11,0.3,7
Emre Can,Borussia Dortmund,2,7.34,2.2,17.6,25,2,0,0,0,0,0,20,0.9,1,1,0.3,7,1,22,1.7,37
Leon Goretzka,Bayern München,6,7.33,5,26.8,30,7,0,0,0,0,0,32,1.3,10,2,0.3,8,1.2,31,1.6,41
Kingsley Coman,Bayern München,3,7.33,2.8,23.5,17,3,0,0,0,0,0,29,2.3,4,3,0.1,1,0.2,2,0.3,4
Vincenzo Grifo,SC Freiburg,8,7.32,7.7,37.5,32,8,0,0,0,0,0,56,2.2,17,2,0.1,1,0.6,15,0.8,20
Franck Honorat,Borussia Mönchengladbach,3,7.31,1.6,35.7,32,9,0,0,0,0,0,89,3.4,19,2,0.1,3,0.3,9,1,27
Marvin Ducksch,SV Werder Bremen,12,7.31,12.8,47.5,33,9,0,0,0,0,0,58,1.9,12,8,0.1,0,0.1,4,0.7,22
Atakan Karazor,VfB Stuttgart,0,7.31,1,10.5,33,4,0,0,0,0,0,29,1,4,0.2,0.3,8,0.9,27,1.4,40
Julian Brandt,Borussia Dortmund,7,7.3,4.4,48.5,32,11,0,0,0,0,0,80,3.2,18,3,0.1,3,0.3,8,0.7,18
Benjamin Henrichs,RB Leipzig,1,7.3,2.5,25.7,33,5,0,0,0,0,0,40,1.4,9,3,0.1,4,1.2,33,1.1,30
Donyell Malen,Borussia Dortmund,13,7.28,9.5,50,27,1,0,0,0,0,0,22,1.1,9,6,0.2,4,0.1,2,0.4,8
Raphaël Guerreiro,Bayern München,3,7.28,2.4,33.3,20,0,0,0,0,0,0,23,1.7,3,3,0.1,1,1.1,15,0.4,5
Piero Hincapié,Bayer 04 Leverkusen,1,7.28,2.4,33.3,26,2,0,0,0,0,0,6,0.4,1,3,0.4,7,0.8,13,2.5,42
Enzo Millot,VfB Stuttgart,5,7.26,5.3,46.2,31,4,0,0,0,0,0,33,1.3,7,3,0.1,2,0.6,16,0.3,7
Waldemar Anton,VfB Stuttgart,0,7.26,1.7,21.4,33,3,0,0,0,0,0,9,0.3,2,1,0.6,20,1.2,40,4.6,148
Min-Jae Kim,Bayern München,1,7.25,0.8,30,25,1,0,0,0,0,0,8,0.4,1,1,0.9,19,2.1,45,3.1,68
Thomas Müller,Bayern München,5,7.23,6.3,38.9,31,9,0,0,0,0,0,51,2.8,17,6,0.1,0,0.2,3,0.3,6
Maximilian Beier,TSG Hoffenheim,16,7.21,11.4,47.6,33,1,0,0,0,0,0,24,0.9,4,11,0.1,1,0.3,9,0.4,11
Marco Reus,Borussia Dortmund,6,7.2,6.5,47.6,26,6,0,0,0,0,0,36,2,10,10,0.1,2,0.3,5,1,18
Florian Grillitsch,TSG Hoffenheim,1,7.2,1.2,28.6,30,6,0,0,0,0,0,19,0.7,2,1,0.8,20,2,52,3.4,86
Ermedin Demirovic,FC Augsburg,15,7.17,13.6,44.4,33,9,0,0,0,0,0,33,1,8,9,0.1,2,0.3,11,0.8,24
Ellyes Skhiri,Eintracht Frankfurt,2,7.17,2.3,44.4,27,1,0,0,0,0,0,20,0.8,3,5,0.2,4,1.6,39,1.7,42
Willian Pacho,Eintracht Frankfurt,0,7.17,1.3,20,33,2,0,0,0,0,0,6,0.2,1,3,0.7,22,1.4,47,4.2,140
Noussair Mazraoui,Bayern München,0,7.16,1.1,25,19,3,0,0,0,0,0,15,1.1,5,1,0.1,1,1.5,20,1.7,23
Dan-Axel Zagadou,VfB Stuttgart,1,7.16,1,27.3,19,0,0,0,0,0,0,3,0.2,0.5,0.2,1.1,18,1.2,20,4.6,74
Mats Hummels,Borussia Dortmund,3,7.15,3.2,37.5,25,0,0,0,0,0,0,9,0.5,2,3,0.6,11,1.9,33,4.6,81
Willi Orban,RB Leipzig,0,7.14,0.5,28.6,19,0,0,0,0,0,0,7,0.4,1,1,0.7,13,0.9,16,4.2,73
Hiroki Ito,VfB Stuttgart,0,7.13,0.9,22.2,26,2,0,0,0,0,0,19,0.8,3,0.2,0.7,17,1.2,29,3.1,78
Amine Adli,Bayer 04 Leverkusen,4,7.12,3.3,55.6,23,4,0,0,0,0,0,21,2.1,3,4,0.2,2,0.6,6,0.5,5
Robin Gosens,1. FC Union Berlin,6,7.11,2.2,31.3,30,3,0,0,0,0,0,33,1.3,6,0.2,0.4,9,1.4,36,2.7,68
Niclas Füllkrug,Borussia Dortmund,12,7.1,12.9,50,31,8,0,0,0,0,0,36,1.3,7,13,0.2,5,0.1,2,1,26
Sepp van den Berg,1. FSV Mainz 05,3,7.1,2.7,44,33,0,0,0,0,0,0,7,0.2,1,3,1.1,36,1.4,43,4.9,154
Marcel Sabitzer,Borussia Dortmund,4,7.09,3.6,42.6,25,3,0,0,0,0,0,22,1,6,1,0.5,12,0.5,12,1.5,33
Julian Weigl,Borussia Mönchengladbach,2,7.09,2.4,31.6,31,3,0,0,0,0,0,24,0.8,4,1,0.5,14,1.6,48,2,61
Maximilian Arnold,VfL Wolfsburg,2,7.08,1,37.5,30,1,0,0,0,0,0,48,1.7,5,0.2,0.1,4,0.9,24,1.9,54
Mohamed Simakan,RB Leipzig,2,7.08,4,36.7,32,3,0,0,0,0,0,15,0.6,3,2,0.6,14,1.2,29,2.9,68
Keven Schlotterbeck,VfL Bochum,5,7.08,2.1,44.4,27,1,0,0,0,0,0,10,0.4,0.5,2,0.9,23,1.4,33,4.1,100
Castello Lukeba,RB Leipzig,1,7.08,0.8,42.9,32,0,0,0,0,0,0,4,0.2,0.5,0.2,0.5,13,0.5,12,3.8,92
Marco Friedl,SV Werder Bremen,1,7.07,0.2,14.3,25,0,0,0,0,0,0,1,1.3,0.5,0.2,1.2,29,1.4,35,5.2,127
Ritsu Doan,SC Freiburg,7,7.06,5,51.4,30,2,0,0,0,0,0,31,1.2,4,4,0.1,3,0.4,9,1,24
Julian Ryerson,Borussia Dortmund,4,7.06,1.8,44.4,21,1,0,0,0,0,0,14,0.7,5,1,0.4,7,0.5,10,1.5,30
Jae-Sung Lee,1. FSV Mainz 05,6,7.06,4.9,34.2,29,3,0,0,0,0,0,32,1.4,5,8,0.1,2,1.1,27,0.8,20
Leandro Barreiro,1. FSV Mainz 05,4,7.06,4.5,39.5,31,1,0,0,0,0,0,20,0.7,1,3,0.6,16,1.2,36,1.8,52
Timo Hübers,FC Köln,0,7.06,1.8,22.7,31,0,0,0,0,0,0,6,0.2,1,2,0.9,28,2,63,5.4,167
Patrick Mainka,1. FC Heidenheim 1846,2,7.06,3.3,24.1,34,0,0,0,0,0,0,3,0.1,0.5,3,0.9,32,1.4,49,4.6,156
Tuta,Eintracht Frankfurt,1,7.05,1.6,38.9,30,2,0,0,0,0,0,12,0.4,3,2,0.4,12,1.2,36,3,88
Jonas Wind,VfL Wolfsburg,11,7.04,9.4,47.9,34,7,0,0,0,0,0,38,1.3,9,11,0.1,4,0.1,3,0.7,21
Eren Dinkci,1. FC Heidenheim 1846,10,7.04,4.3,42.9,33,4,0,0,0,0,0,36,1.2,7,2,0.1,4,0.4,12,0.5,16
Anthony Caci,1. FSV Mainz 05,2,7.04,1.6,19.4,31,3,0,0,0,0,0,25,0.9,6,1,0.3,7,1.2,32,1.4,40
Aleksandar Pavlovic,Bayern München,2,7.04,1.2,25,19,2,0,0,0,0,0,11,0.8,2,0.2,0.2,3,1.2,17,0.8,11
Jens Stage,SV Werder Bremen,3,7.04,4.4,27.5,30,1,0,0,0,0,0,25,1,4,6,0.9,23,0.9,23,2,51
Brajan Gruda,1. FSV Mainz 05,4,7.03,3.5,40,28,3,0,0,0,0,0,43,2.3,9,2,0.1,0,0.3,5,0.2,4
Lovro Majer,VfL Wolfsburg,5,7.03,5.4,32.4,32,5,0,0,0,0,0,38,1.6,6,6,0.1,1,0.5,12,0.5,12
Dayot Upamecano,Bayern München,1,7.03,1.7,36.4,25,0,0,0,0,0,0,6,0.3,1,2,0.4,7,1,19,2.7,52
Romano Schmid,SV Werder Bremen,4,7.02,5.2,26.3,33,6,0,0,0,0,0,51,1.8,12,5,0.2,7,0.4,11,0.5,14
Mario Götze,Eintracht Frankfurt,3,7.02,3,53.8,30,2,0,0,0,0,0,35,1.5,5,3,0.1,3,0.6,14,0.4,10
Tim Kleindienst,1. FC Heidenheim 1846,12,7.02,13.9,41,33,3,0,0,0,0,0,27,0.8,5,18,0.3,8,0.4,12,1.8,58
Rocco Reitz,Borussia Mönchengladbach,6,7.01,3.7,42.4,34,3,0,0,0,0,0,20,0.8,3,1,0.8,20,1.8,44,1.1,25
Dominik Kohr,1. FSV Mainz 05,1,7.01,1.6,28,31,0,0,0,0,0,0,15,0.6,1,2,0.2,6,1.8,43,2.1,52
Maximilian Wöber,Borussia Mönchengladbach,2,7.01,2.4,15.8,25,3,0,0,0,0,0,12,0.5,2,1,1.1,26,1.7,38,4.6,106
Matthijs de Ligt,Bayern München,2,7.01,1.8,50,22,0,0,0,0,0,0,3,0.2,0.5,2,0.6,10,1.2,19,3.4,52
Wout Weghorst,TSG Hoffenheim,7,7,7.5,38.5,28,3,0,0,0,0,0,34,1.5,3,5,0.4,8,0.3,6,1.1,24
Pavel Kaderabek,TSG Hoffenheim,3,6.99,2.5,31.6,29,4,0,0,0,0,0,37,1.4,10,1,0.3,8,0.9,23,2.3,62
Konrad Laimer,Bayern München,0,6.99,1,29.4,29,3,0,0,0,0,0,25,1.3,6,1,0.3,6,0.9,18,0.6,11
Alassane Plea,Borussia Mönchengladbach,7,6.99,7,32.8,27,4,0,0,0,0,0,36,1.7,5,5,0.1,0,0.1,2,0.3,6
Lucas Höler,SC Freiburg,7,6.99,8.6,52.9,33,2,0,0,0,0,0,32,1.2,1,7,0.2,4,0.6,15,1.3,34
Marvin Mehlem,SV Darmstadt,3,6.98,4,34.8,20,2,0,0,0,0,0,22,1.3,0.5,3,0.1,2,2,33,0.7,12
Joakim Mæhle,VfL Wolfsburg,2,6.97,1.4,30,30,3,0,0,0,0,0,22,0.8,4,2,0.2,5,1.1,29,2.1,56
Iago,FC Augsburg,1,6.97,1.4,38.9,23,1,0,0,0,0,0,17,0.9,4,3,0.4,8,1,18,2.2,39
Maximilian Wittek,VfL Bochum,3,6.97,1.3,30.8,21,1,0,0,0,0,0,24,2,1,0.2,0.1,1,1.5,18,1.8,21
Grischa Prömel,TSG Hoffenheim,4,6.97,3.8,30.8,28,5,0,0,0,0,0,21,0.9,5,4,0.3,6,0.9,22,1.5,35
Jeffrey Gouweleeuw,FC Augsburg,1,6.97,1.3,13,30,0,0,0,0,0,0,15,0.5,3,0.2,0.8,24,1.2,35,3.6,104
Fabian Nürnberg,SV Darmstadt,1,6.96,2.4,31.6,21,1,0,0,0,0,0,30,1.8,1,0.2,0.1,1,1,17,1.3,22
Mattias Svanberg,VfL Wolfsburg,1,6.96,3,26.2,25,3,0,0,0,0,0,26,1.4,5,2,0.3,5,1.1,21,1.3,25
Max Finkgrafe,FC Köln,1,6.96,1,33.3,24,0,0,0,0,0,0,23,1.2,2,2,0.5,10,1.1,22,1.6,32
Julian Chabot,FC Köln,0,6.96,1.4,21.1,32,0,0,0,0,0,0,9,0.3,0.5,1,1.4,43,1.5,45,4.5,136
Jan Schöppner,1. FC Heidenheim 1846,2,6.96,1.1,23.5,26,2,0,0,0,0,0,13,0.6,3,0.2,0.3,7,1.2,26,2.5,55
Lukas Hradecky,Bayer 04 Leverkusen,0,6.95,2.4,0.5,33,0,2.4,78,15,0.7,24,7,1.3,0.5,0.2,0.1,0,0.84,0,0.5,18
Florian Kainz,FC Köln,5,6.94,5,32.1,33,4,0,0,0,0,0,53,2.2,4,0.2,0.2,6,0.5,13,0.8,20
Eric Ebimbe,Eintracht Frankfurt,5,6.94,5,32.7,31,3,0,0,0,0,0,20,0.9,5,5,0.3,7,0.4,9,1.6,35
Bernardo,VfL Bochum,1,6.94,2.6,27.6,33,0,0,0,0,0,0,13,0.4,0.5,2,0.9,30,1.7,55,3.2,105
Kristijan Jakic,FC Augsburg,2,6.94,0.8,35.7,18,1,0,0,0,0,0,8,0.6,0.5,0.2,0.1,1,1.6,22,1.1,16
Kouadio Koné,Borussia Mönchengladbach,1,6.94,2.4,33.3,22,0,0,0,0,0,0,24,1.4,1,0.2,0.1,1,0.9,15,0.9,15
Patrick Osterhage,VfL Bochum,2,6.94,1.4,13.6,24,1,0,0,0,0,0,13,0.6,0.5,1,0.4,9,1.3,27,1.4,29
Robin Koch,Eintracht Frankfurt,2,6.94,3.1,20.8,31,0,0,0,0,0,0,4,0.1,0.5,6,0.8,24,1.1,32,4.4,135
Oliver Baumann,TSG Hoffenheim,0,6.94,2.4,0.5,34,1,4.3,146,2,1.9,66,2,0.1,0.5,0.2,0.1,0,0.84,0,0.9,31
Michael Zetterer,SV Werder Bremen,0,6.94,0.1,0.5,27,0,3.4,93,6,1.4,37,3,0.1,0.5,0.2,0.1,0,0.84,0,0.6,17
Robert Skov,TSG Hoffenheim,3,6.93,1.8,21.9,25,4,0,0,0,0,0,23,1.6,3,1,0.3,4,0.7,10,1.6,22
Josip Juranovic,1. FC Union Berlin,0,6.92,1.4,25,21,2,0,0,0,0,0,39,2.7,3,1,0.2,3,0.8,12,1.7,25
Felix Agu,SV Werder Bremen,0,6.92,0.9,0.5,24,0,0,0,0,0,0,7,0.4,2,2,0.4,7,0.7,13,2.1,38
Philipp Mwene,1. FSV Mainz 05,1,6.91,1.5,37.5,23,2,0,0,0,0,0,22,1,4,1,0.1,3,0.8,17,1.8,40
Patrik Schick,Bayer 04 Leverkusen,7,6.91,6,32.5,20,0,0,0,0,0,0,9,0.8,2,5,0.1,0,0.1,1,0.6,7
Senne Lynen,SV Werder Bremen,0,6.91,0.4,16.7,32,3,0,0,0,0,0,15,0.8,3,0.2,0.4,8,2.1,41,2.8,55
Anthony Losilla,VfL Bochum,1,6.91,2.3,21.4,31,2,0,0,0,0,0,19,0.7,2,1,0.3,8,0.9,25,1.7,49
Nico Elvedi,Borussia Mönchengladbach,2,6.91,1.6,38.9,30,1,0,0,0,0,0,3,0.1,0.5,2,0.9,25,1.6,43,5.2,143
John Anthony Brooks,TSG Hoffenheim,2,6.91,2.6,36.4,21,0,0,0,0,0,0,3,0.2,0.5,2,1,17,1.6,27,6.2,106
Fredrik Jensen,FC Augsburg,2,6.9,0.9,35.7,22,4,0,0,0,0,0,32,2.1,5,0.2,0.1,1,0.8,12,1.3,20
Robin Hack,Borussia Mönchengladbach,10,6.9,3.9,51.2,29,2,0,0,0,0,0,25,1.7,3,4,0.1,0,0.9,14,0.9,14
Florian Neuhaus,Borussia Mönchengladbach,4,6.89,4.3,41,25,2,0,0,0,0,0,19,1.4,4,4,0.4,6,1,14,0.6,8
Robin Knoche,1. FC Union Berlin,1,6.89,1.2,50,24,0,0,0,0,0,0,3,0.1,0.5,2,0.9,19,0.6,13,3.3,70
Kevin Mbabu,FC Augsburg,0,6.88,0.1,25,25,2,0,0,0,0,0,20,0.9,3,0.2,0.4,9,1.1,24,1.8,42
Justin Njinmah,SV Werder Bremen,6,6.88,4.9,42.4,24,2,0,0,0,0,0,13,1.2,4,4,0.1,1,0.2,2,0.4,5
Maxence Lacroix,VfL Wolfsburg,4,6.88,0.8,66.7,28,1,0,0,0,0,0,8,0.3,0.5,0.2,0.5,12,0.9,24,4.4,116
Matthias Bader,SV Darmstadt,1,6.87,0.7,5.9,24,2,0,0,0,0,0,18,0.9,3,0.2,0.2,4,1.2,25,0.8,17
Michael Gregoritsch,SC Freiburg,7,6.87,9.4,41.9,32,4,0,0,0,0,0,15,0.8,1,15,0.2,4,0.5,9,1.4,26
Jonathan Burkardt,1. FSV Mainz 05,8,6.87,6.1,41.5,21,2,0,0,0,0,0,15,0.9,4,8,0.2,3,0.2,3,0.1,2
Nicolas Höfler,SC Freiburg,1,6.87,2.4,6.3,28,1,0,0,0,0,0,9,0.3,0.5,0.2,0.6,16,1.2,31,1.6,41
Leonardo Bittencourt,SV Werder Bremen,1,6.86,2.3,16.1,29,2,0,0,0,0,0,26,1.5,5,3,0.1,1,0.7,13,0.3,6
Niels Nkounkou,Eintracht Frankfurt,3,6.86,1.3,31.8,29,2,0,0,0,0,0,16,1.1,4,0.2,0.1,2,1.1,16,1.7,24
Anthony Jung,SV Werder Bremen,1,6.86,0.7,20,31,0,0,0,0,0,0,6,0.2,0.5,0.2,0.6,17,0.8,24,3.3,96
Fares Chaibi,Eintracht Frankfurt,2,6.85,3.1,35,28,4,0,0,0,0,0,51,2.4,15,3,0.1,1,0.2,5,0.8,17
Tim Skarke,SV Darmstadt,8,6.85,3.6,29,30,0,0,0,0,0,0,31,1.2,2,3,0.1,2,0.2,6,0.7,19
Ozan Kabak,TSG Hoffenheim,4,6.85,2.2,36.8,28,1,0,0,0,0,0,8,0.3,1,2,0.8,21,1.8,46,4.1,105
Felix Uduokhai,FC Augsburg,2,6.85,1.6,23.1,33,0,0,0,0,0,0,9,0.3,0.5,0.2,1.1,35,1.4,46,5.4,174
Felix Nmecha,Borussia Dortmund,1,6.85,1.7,13,20,2,0,0,0,0,0,14,1.2,0.5,2,0.4,5,1,11,1.7,19
Niklas Süle,Borussia Dortmund,1,6.85,0.4,14.3,23,0,0,0,0,0,0,5,0.3,0.5,0.2,0.8,14,1.5,25,3.4,57
Gregor Kobel,Borussia Dortmund,0,6.85,2.4,0.5,27,0,3.2,85,7,1.3,34,7,1.3,0.5,0.2,0.1,0,0.84,0,1,25
Kevin Kampl,RB Leipzig,1,6.84,0.2,16.7,26,0,0,0,0,0,0,15,1,2,0.2,0.5,7,0.7,11,0.7,11
Benjamin Sesko,RB Leipzig,14,6.84,7.7,53.2,31,2,0,0,0,0,0,12,0.7,1,8,0.1,2,0.2,3,1.6,27
Eric Martel,FC Köln,1,6.84,2.2,33.3,30,1,0,0,0,0,0,12,0.4,1,2,0.7,19,1.6,43,2.9,80
Maximilian Eggestein,SC Freiburg,1,6.83,2.4,20.5,33,1,0,0,0,0,0,25,0.8,4,0.2,0.6,18,0.9,28,1.1,36
Phillip Tietz,FC Augsburg,8,6.82,8.2,36.5,34,4,0,0,0,0,0,29,1.1,3,12,0.1,3,0.2,6,1.3,35
Edimilson Fernandes,1. FSV Mainz 05,0,6.82,0.5,0.5,21,2,0,0,0,0,0,18,1.3,1,0.2,0.4,6,1.5,22,3.6,52
Josha Vagnoman,VfB Stuttgart,2,6.82,1.3,41.2,18,2,0,0,0,0,0,7,0.5,2,3,0.4,5,0.2,2,1,13
Elvis Rexhbecaj,FC Augsburg,2,6.81,1.7,13.8,25,0,0,0,0,0,0,13,0.6,0.5,0.2,0.3,7,0.9,20,0.9,20
Omar Traoré,1. FC Heidenheim 1846,0,6.8,0.3,9.1,31,2,0,0,0,0,0,19,0.7,2,0.2,0.3,7,1.5,40,1.6,45
Aster Vranckx,VfL Wolfsburg,0,6.8,0.1,50,24,0,0,0,0,0,0,5,0.4,0.5,0.2,0.5,6,1.1,14,2.3,29
Niklas Dorsch,FC Augsburg,0,6.8,0.7,0.5,21,0,0,0,0,0,0,3,0.2,0.5,0.2,0.6,9,1,16,1.8,27
